author,tags,text
Albert Einstein,,“The world as we have created it is a process of o...
J.K. Rowling,,"“It is our choices, Harry, that show what we truly..."
Albert Einstein,,“There are only two ways to live your life. One is...
Jane Austen,,"“The person, be it gentleman or lady, who has not..."
Marilyn Monroe,,"“Imperfection is beauty, madness is genius and it'..."
Albert Einstein,,“Try not to become a man of success. Rather become...
André Gide,,“It is better to be hated for what you are than to...
Thomas A. Edison,,"“I have not failed. I've just found 10,000 ways th..."
Eleanor Roosevelt,,“A woman is like a tea bag; you never know how str...
Steve Martin,,"“A day without sunshine is like, you know, night.”"
Marilyn Monroe,,"“This life is what you make it. No matter what, yo..."
J.K. Rowling,,“It takes a great deal of bravery to stand up to o...
Albert Einstein,,"“If you can't explain it to a six year old, you do..."
Bob Marley,,"“You may not be her first, her last, or her only...."
Dr. Seuss,,"“I like nonsense, it wakes up the brain cells. Fan..."
Douglas Adams,,"“I may not have gone where I intended to go, but I..."
Elie Wiesel,,"“The opposite of love is not hate, it's indifferen..."
Friedrich Nietzsche,,"“It is not a lack of love, but a lack of friendshi..."
Mark Twain,,"“Good friends, good books, and a sleepy conscience..."
Allen Saunders,,“Life is what happens to us while we are making ot...
Pablo Neruda,,"“I love you without knowing how, or when, or from..."
Ralph Waldo Emerson,,“For every minute you are angry you lose sixty sec...
Mother Teresa,,"“If you judge people, you have no time to love the..."
Garrison Keillor,,“Anyone who thinks sitting in church can make you...
Jim Henson,,“Beauty is in the eye of the beholder and it may b...
Dr. Seuss,,"“Today you are You, that is truer than true. There..."
Albert Einstein,,"“If you want your children to be intelligent, read..."
J.K. Rowling,,“It is impossible to live without failing at somet...
Albert Einstein,,“Logic will get you from A to Z; imagination will...
Bob Marley,,"“One good thing about music, when it hits you, you..."
Dr. Seuss,,"“The more that you read, the more things you will..."
J.K. Rowling,,"“Of course it is happening inside your head, Harry..."
Bob Marley,,"“The truth is, everyone is going to hurt you. You..."
Mother Teresa,,“Not all of us can do great things. But we can do...
J.K. Rowling,,"“To the well-organized mind, death is but the next..."
Charles M. Schulz,,“All you need is love. But a little chocolate now...
William Nicholson,,“We read to know we're not alone.”
Albert Einstein,,“Any fool can know. The point is to understand.”
Jorge Luis Borges,,“I have always imagined that Paradise will be a ki...
George Eliot,,“It is never too late to be what you might have be...
George R.R. Martin,,"“A reader lives a thousand lives before he dies, s..."
C.S. Lewis,,“You can never get a cup of tea large enough or a...
Marilyn Monroe,,“You believe lies so you eventually learn to trust...
Marilyn Monroe,,"“If you can make a woman laugh, you can make her d..."
Albert Einstein,,“Life is like riding a bicycle. To keep your balan...
Marilyn Monroe,,“The real lover is the man who can thrill you by k...
Marilyn Monroe,,"“A wise girl kisses but doesn't love, listens but..."
Martin Luther King Jr.,,“Only in the darkness can you see the stars.”
J.K. Rowling,,"“It matters not what someone is born, but what the..."
James Baldwin,,“Love does not begin and end the way we seem to th...
Jane Austen,,“There is nothing I would not do for those who are...
Eleanor Roosevelt,,“Do one thing every day that scares you.”
Marilyn Monroe,,"“I am good, but not an angel. I do sin, but I am n..."
Albert Einstein,,"“If I were not a physicist, I would probably be a..."
Haruki Murakami,,“If you only read the books that everyone else is...
Alexandre Dumas fils,,“The difference between genius and stupidity is: g...
Stephenie Meyer,,"“He's like a drug for you, Bella.”"
Ernest Hemingway,,“There is no friend as loyal as a book.”
Helen Keller,,"“When one door of happiness closes, another opens;..."
George Bernard Shaw,,“Life isn't about finding yourself. Life is about...
Charles Bukowski,,"“That's the problem with drinking, I thought, as I..."
Suzanne Collins,,“You don’t forget the face of the person who was y...
Suzanne Collins,,"“Remember, we're madly in love, so it's all right..."
C.S. Lewis,,“To love at all is to be vulnerable. Love anything...
J.R.R. Tolkien,,“Not all those who wander are lost.”
J.K. Rowling,,"“Do not pity the dead, Harry. Pity the living, and..."
Ernest Hemingway,,“There is nothing to writing. All you do is sit do...
Ralph Waldo Emerson,,“Finish each day and be done with it. You have don...
Mark Twain,,“I have never let my schooling interfere with my e...
Dr. Seuss,,“I have heard there are troubles of more than one...
Alfred Tennyson,,“If I had a flower for every time I thought of you...
Charles Bukowski,,“Some people never go crazy. What truly horrible l...
Terry Pratchett,,"“The trouble with having an open mind, of course,..."
Dr. Seuss,,“Think left and think right and think low and thin...
J.D. Salinger,,"“What really knocks me out is a book that, when yo..."
George Carlin,,“The reason I talk to myself is because I’m the on...
John Lennon,,"“You may say I'm a dreamer, but I'm not the only o..."
W.C. Fields,,“I am free of all prejudice. I hate everyone equal...
Ayn Rand,,“The question isn't who is going to let me; it's w...
Mark Twain,,“′Classic′ - a book which people praise and don't...
Albert Einstein,,“Anyone who has never made a mistake has never tri...
Jane Austen,,“A lady's imagination is very rapid; it jumps from...
J.K. Rowling,,"“Remember, if the time should come when you have t..."
Jane Austen,,“I declare after all there is no enjoyment like re...
Jane Austen,,"“There are few people whom I really love, and stil..."
C.S. Lewis,,“Some day you will be old enough to start reading...
C.S. Lewis,,“We are not necessarily doubting that God will do...
Mark Twain,,“The fear of death follows from the fear of life....
Mark Twain,,“A lie can travel half way around the world while...
C.S. Lewis,,“I believe in Christianity as I believe that the s...
J.K. Rowling,,"“The truth."" Dumbledore sighed. ""It is a beautiful..."
Jimi Hendrix,,“I'm the one that's got to die when it's time for...
J.M. Barrie,,“To die will be an awfully big adventure.”
E.E. Cummings,,“It takes courage to grow up and become who you re...
Khaled Hosseini,,“But better to get hurt by the truth than comforte...
Harper Lee,,“You never really understand a person until you co...
Madeleine L'Engle,,“You have to write the book that wants to be writt...
Mark Twain,,“Never tell the truth to people who are not worthy...
Dr. Seuss,,"“A person's a person, no matter how small.”"
George R.R. Martin,,“... a mind needs books as a sword needs a whetsto...
